
CONTENTS,
,,
Section 2 - All Students,
,,
,"Table 1: All Students by Age Group and Broad Level of Course, Full Year 2006"
,"Table 2: All Domestic Students by Age Group and Broad Level of Course, Full Year 2006"
,"Table 3: All Students by Level of Course, Broad Field of Education and Gender, Full Year 2006"
,"Table 4: All Students by State of Permanent Home Residence and State of Higher Education Provider of Study, Full Year 2006"
,"Table 5: All Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006"
,"Table 6: All Domestic Students by State, Higher Education Provider and Broad Level of Course, Full Year 2006"
,"Table 7: All Students by State, Higher Education Provider, Mode of Attendance, Type of Attendance and Gender, Full Year 2006"
,"Table 8: All Students by State, Higher Education Provider and Broad Field of Education, Full Year 2006"
,"Table 9: All Domestic Students by State, Higher Education Provider and Broad Field of Education, Full Year 2006"
,"Table 10: All Students by State, Higher Education Provider, Citizenship and Residence Status, Full Year 2006"
,,
,,
< Back to Contents >,,,,,,,,,,,,,
"Table 1: All Students by Age Group and Broad Level of Course, Full Year 2006",,,,,,,,,,,,,
Age Group,Doctorate by Research,Doctorate by Coursework,Master's by Research,Master's by Coursework,Other Postgraduate,Sub-total Postgraduate,Bachelor,Associate Degree,Other Undergraduate,Sub-total Undergraduate,Enabling Courses,Non-award Courses,TOTAL
Northern Melbourne Institute of TAFE,0,0,0,0,0,0,17,0,0,17,0,0,17
Oceania Polytechnic Institute of Education Pty Ltd,0,0,0,0,0,0,36,0,0,36,0,0,36
RMIT University,"1,150",18,500,"5,948","2,410","10,026","30,619",69,511,"31,199",0,222,"41,447"
Swinburne University of Technology,521,0,53,"3,221","1,701","5,496","11,547",0,0,"11,547",0,347,"17,390"
Tabor College - Victoria,0,0,0,11,43,54,199,0,0,199,0,0,253
The Southern School of Natural Therapies Limited,0,0,0,0,0,0,242,0,0,242,0,0,242
The University of Melbourne,"3,764",166,"1,063","6,076","4,009","15,078","27,445",0,341,"27,786",0,525,"43,389"
University of Ballarat,169,0,37,"4,200",779,"5,185","5,112",0,0,"5,112",22,111,"10,430"
Victoria University,595,35,60,"2,698",764,"4,152","15,471",0,0,"15,471",169,388,"20,180"
State Sub-total,"10,760",234,"2,931","39,757","19,323","73,005","172,973",197,"1,982","175,152",210,"3,327","251,694"
Queensland,,,,,,,,,,,,,
Australian College of Natural Medicine,0,0,0,0,0,0,"1,398",0,0,"1,398",0,0,"1,398"
Bond University,63,23,2,"1,228",224,"1,540","1,906",7,2,"1,915",0,"1,180","4,635"
Central Queensland University,224,34,73,"7,783","1,819","9,933","14,147",48,282,"14,477",598,297,"25,305"
Christian Heritage College,0,0,0,63,113,176,531,17,83,631,0,2,809
Griffith University,"1,209",39,141,"4,390","1,334","7,113","26,854",0,18,"26,872",0,"1,350","35,335"
James Cook University,569,63,118,"1,717",788,"3,255","11,388",0,92,"11,480",59,584,"15,378"
Queensland Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,84,84,0,0,84
Queensland University of Technology,"1,096",20,378,"3,588","3,421","8,503","28,830",0,531,"29,361",0,660,"38,524"
Shafston Institute of Technology,0,0,0,0,0,0,0,0,20,20,0,0,20
The University of Queensland,"3,096",96,492,"4,630","1,519","9,833","26,584",0,270,"26,854",0,831,"37,518"
University of Southern Queensland,171,48,50,"5,780","1,806","7,855","13,614",683,392,"14,689",897,"1,802","25,243"
University of the Sunshine Coast,69,0,17,679,512,"1,277","3,919",0,0,"3,919",161,430,"5,787"
State Sub-total,"6,497",323,"1,271","29,858","11,536","49,485","129,171",755,"1,774","131,700","1,715","7,136","190,036"
Western Australia,,,,,,,,,,,,,
Curtin International College,0,0,0,0,0,0,0,0,13,13,0,0,13
Curtin University of Technology,"1,461",1,311,"4,591","2,504","8,868","28,792",297,177,"29,266",183,"1,142","39,459"
Edith Cowan University,394,105,170,"2,634","2,621","5,924","17,378",64,116,"17,558",488,19,"23,989"
Murdoch University,774,27,130,582,934,"2,447","11,296",0,0,"11,296",119,55,"13,917"
Perth Bible College,0,0,0,0,0,0,27,0,28,55,0,0,55
Perth Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,54,54,0,0,54
The University of Notre Dame Australia,43,0,12,500,255,810,"4,302",0,17,"4,319",98,409,"5,636"
The University of Western Australia,"1,654",3,340,"1,500",778,"4,275","13,440",0,6,"13,446",33,7,"17,761"
State Sub-total,"4,326",136,963,"9,807","7,092","22,324","75,235",361,411,"76,007",921,"1,632","100,884"
South Australia,,,,,,,,,,,,,
Adelaide College of Divinity,0,0,0,6,0,6,39,0,0,39,0,0,45
Australian Lutheran College,0,0,0,13,117,130,52,0,155,207,0,0,337
Carnegie Mellon University,0,0,0,63,0,63,0,0,0,0,0,0,63
International College of Hotel Management Inc,0,0,0,0,0,0,1,0,0,1,0,0,1
South Australian Institute of Business and Technology Pty Ltd,0,0,0,0,0,0,0,0,107,107,0,0,107
Tabor College Adelaide,0,13,0,33,77,123,590,17,0,607,0,0,730
The Flinders University of South Australia,762,78,122,"2,430","1,069","4,461","10,611",0,213,"10,824",0,133,"15,418"
The University of Adelaide,"1,638",23,209,"2,453","1,242","5,565","13,075",0,130,"13,205",35,485,"19,290"
University of South Australia,916,355,77,"4,969","2,420","8,737","23,736",94,81,"23,911",300,462,"33,410"
State Sub-total,"3,316",469,408,"9,967","4,925","19,085","48,104",111,686,"48,901",335,"1,080","69,401"
Tasmania,,,,,,,,,,,,,
Australian Maritime College,15,0,4,36,113,168,414,0,665,"1,079",0,1,"1,248"
Tabor College Tasmania,0,0,0,0,0,0,40,0,0,40,0,0,40
University of Tasmania,"1,029",0,239,798,785,"2,851","13,846",328,129,"14,303",304,13,"17,471"
State Sub-total,"1,044",0,243,834,898,"3,019","14,300",328,794,"15,422",304,14,"18,759"
Northern Territory,,,,,,,,,,,,,
Batchelor Institute of Indigenous Tertiary Education,0,0,0,0,20,20,144,0,254,398,254,0,672
Charles Darwin University,187,17,31,318,464,"1,017","3,781",33,19,"3,833",536,10,"5,396"
State Sub-total,187,17,31,318,484,"1,037","3,925",33,273,"4,231",790,10,"6,068"
Australian Capital Territory,,,,,,,,,,,,,
Australian Defence Force Academy,154,17,35,617,402,"1,225",995,0,0,995,0,263,"2,483"
Australian International Hotel School,0,0,0,0,0,0,0,0,0,0,0,0,0
The Australian National University,"2,059",14,130,"2,242","1,144","5,589","8,533",12,69,"8,614",0,350,"14,553"
University of Canberra,211,1,67,"1,869",928,"3,076","7,652",0,4,"7,656",16,110,"10,858"
