Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"POA by DWTD Dwelling Type"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

"Counting","POA","DWTD Dwelling Type","Count",
"Dwellings, Location on Census Night","2079, NSW","Occupied private dwellings",2330
"Dwellings, Location on Census Night","2079, NSW","Total",2330
"Dwellings, Location on Census Night","2080, NSW","Occupied private dwellings",562
"Dwellings, Location on Census Night","2080, NSW","Total",562
"Dwellings, Location on Census Night","2081, NSW","Occupied private dwellings",1665
"Dwellings, Location on Census Night","2081, NSW","Total",1665
"Dwellings, Location on Census Night","2082, NSW","Occupied private dwellings",1921
"Dwellings, Location on Census Night","2082, NSW","Total",1921
"Dwellings, Location on Census Night","2083, NSW","Occupied private dwellings",647
"Dwellings, Location on Census Night","2083, NSW","Total",647
"Dwellings, Location on Census Night","2084, NSW","Occupied private dwellings",1128
"Dwellings, Location on Census Night","2084, NSW","Total",1128
"Dwellings, Location on Census Night","2085, NSW","Occupied private dwellings",3540
"Dwellings, Location on Census Night","2085, NSW","Total",3540
"Dwellings, Location on Census Night","2086, NSW","Occupied private dwellings",4256
"Dwellings, Location on Census Night","2086, NSW","Total",4256
"Dwellings, Location on Census Night","2087, NSW","Occupied private dwellings",4214
"Dwellings, Location on Census Night","2087, NSW","Total",4214
"Dwellings, Location on Census Night","2088, NSW","Occupied private dwellings",11652
"Dwellings, Location on Census Night","2088, NSW","Total",11652
"Dwellings, Location on Census Night","2089, NSW","Occupied private dwellings",5618
"Dwellings, Location on Census Night","2089, NSW","Total",5618
"Dwellings, Location on Census Night","2090, NSW","Occupied private dwellings",6327
"Dwellings, Location on Census Night","2090, NSW","Total",6327
"Dwellings, Location on Census Night","2092, NSW","Occupied private dwellings",2197
"Dwellings, Location on Census Night","2092, NSW","Total",2197
"Dwellings, Location on Census Night","2093, NSW","Occupied private dwellings",8068
"Dwellings, Location on Census Night","2093, NSW","Total",8068
"Dwellings, Location on Census Night","2094, NSW","Occupied private dwellings",2354
"Dwellings, Location on Census Night","2094, NSW","Total",2354
"Dwellings, Location on Census Night","2095, NSW","Occupied private dwellings",7079
"Dwellings, Location on Census Night","2095, NSW","Total",7079
"Dwellings, Location on Census Night","2096, NSW","Occupied private dwellings",5749
"Dwellings, Location on Census Night","2096, NSW","Total",5749
"Dwellings, Location on Census Night","2097, NSW","Occupied private dwellings",5168
"Dwellings, Location on Census Night","2097, NSW","Total",5168
"Dwellings, Location on Census Night","2099, NSW","Occupied private dwellings",14815
"Dwellings, Location on Census Night","2099, NSW","Total",14815
"Dwellings, Location on Census Night","2100, NSW","Occupied private dwellings",6664
"Dwellings, Location on Census Night","2100, NSW","Total",6664
"Dwellings, Location on Census Night","2101, NSW","Occupied private dwellings",7007
"Dwellings, Location on Census Night","2101, NSW","Total",7007
"Dwellings, Location on Census Night","2102, NSW","Occupied private dwellings",2055
"Dwellings, Location on Census Night","2102, NSW","Total",2055
"Dwellings, Location on Census Night","2103, NSW","Occupied private dwellings",3755
"Dwellings, Location on Census Night","2103, NSW","Total",3755
"Dwellings, Location on Census Night","2104, NSW","Occupied private dwellings",1223
"Dwellings, Location on Census Night","2104, NSW","Total",1223
"Dwellings, Location on Census Night","2105, NSW","Occupied private dwellings",668
"Dwellings, Location on Census Night","2105, NSW","Total",668
"Dwellings, Location on Census Night","2106, NSW","Occupied private dwellings",3450
"Dwellings, Location on Census Night","2106, NSW","Total",3450
"Dwellings, Location on Census Night","2107, NSW","Occupied private dwellings",5123
"Dwellings, Location on Census Night","2107, NSW","Total",5123
"Dwellings, Location on Census Night","2108, NSW","Occupied private dwellings",766
"Dwellings, Location on Census Night","2108, NSW","Total",766
"Dwellings, Location on Census Night","2109, NSW","Occupied private dwellings",288
"Dwellings, Location on Census Night","2109, NSW","Total",288
"Dwellings, Location on Census Night","2110, NSW","Occupied private dwellings",3244
"Dwellings, Location on Census Night","2110, NSW","Total",3244
"Dwellings, Location on Census Night","2111, NSW","Occupied private dwellings",5418
"Dwellings, Location on Census Night","2111, NSW","Total",5418
"Dwellings, Location on Census Night","2112, NSW","Occupied private dwellings",10329
"Dwellings, Location on Census Night","2112, NSW","Total",10329
"Dwellings, Location on Census Night","2113, NSW","Occupied private dwellings",6520
"Dwellings, Location on Census Night","2113, NSW","Total",6520
"Dwellings, Location on Census Night","2114, NSW","Occupied private dwellings",8474
"Dwellings, Location on Census Night","2114, NSW","Total",8474
"Dwellings, Location on Census Night","2115, NSW","Occupied private dwellings",3314
"Dwellings, Location on Census Night","2115, NSW","Total",3314
"Dwellings, Location on Census Night","2116, NSW","Occupied private dwellings",2148
"Dwellings, Location on Census Night","2116, NSW","Total",2148
"Dwellings, Location on Census Night","2117, NSW","Occupied private dwellings",7002
"Dwellings, Location on Census Night","2117, NSW","Total",7002
"Dwellings, Location on Census Night","2118, NSW","Occupied private dwellings",7272
"Dwellings, Location on Census Night","2118, NSW","Total",7272
"Dwellings, Location on Census Night","2119, NSW","Occupied private dwellings",3507
"Dwellings, Location on Census Night","2119, NSW","Total",3507
"Dwellings, Location on Census Night","2120, NSW","Occupied private dwellings",6659
"Dwellings, Location on Census Night","2120, NSW","Total",6659
"Dwellings, Location on Census Night","2121, NSW","Occupied private dwellings",8742
"Dwellings, Location on Census Night","2121, NSW","Total",8742
"Dwellings, Location on Census Night","2122, NSW","Occupied private dwellings",10718
"Dwellings, Location on Census Night","2122, NSW","Total",10718
"Dwellings, Location on Census Night","2125, NSW","Occupied private dwellings",5086
"Dwellings, Location on Census Night","2125, NSW","Total",5086
"Dwellings, Location on Census Night","2126, NSW","Occupied private dwellings",5872
"Dwellings, Location on Census Night","2126, NSW","Total",5872
"Dwellings, Location on Census Night","2127, NSW","Occupied private dwellings",3361
"Dwellings, Location on Census Night","2127, NSW","Total",3361
"Dwellings, Location on Census Night","2128, NSW","Occupied private dwellings",636
"Dwellings, Location on Census Night","2128, NSW","Total",636
"Dwellings, Location on Census Night","2129, NSW","Occupied private dwellings",0
"Dwellings, Location on Census Night","2129, NSW","Total",0
"Dwellings, Location on Census Night","2130, NSW","Occupied private dwellings",2861
"Dwellings, Location on Census Night","2130, NSW","Total",2861
"Dwellings, Location on Census Night","2131, NSW","Occupied private dwellings",8750
"Dwellings, Location on Census Night","2131, NSW","Total",8750
"Dwellings, Location on Census Night","2132, NSW","Occupied private dwellings",3572
"Dwellings, Location on Census Night","2132, NSW","Total",3572
"Dwellings, Location on Census Night","2133, NSW","Occupied private dwellings",4028
"Dwellings, Location on Census Night","2133, NSW","Total",4028
"Dwellings, Location on Census Night","2134, NSW","Occupied private dwellings",4482
"Dwellings, Location on Census Night","2134, NSW","Total",4482
"Dwellings, Location on Census Night","2135, NSW","Occupied private dwellings",7848
"Dwellings, Location on Census Night","2135, NSW","Total",7848
"Dwellings, Location on Census Night","2136, NSW","Occupied private dwellings",2369
"Dwellings, Location on Census Night","2136, NSW","Total",2369
