POA,Occupied private dwellings
"2775, NSW",653
"2776, NSW",1444
"2777, NSW",6387
"2778, NSW",911
"2779, NSW",1724
"2780, NSW",5631
"2782, NSW",2435
"2783, NSW",1125
"2784, NSW",473
"2785, NSW",2074
"2786, NSW",453
"2787, NSW",1649
"2790, NSW",6036
"2791, NSW",249
"2792, NSW",205
"2793, NSW",478
"2794, NSW",4124
"2795, NSW",14844
"2797, NSW",103
"2798, NSW",837
"2799, NSW",1497
"2800, NSW",15810
"2803, NSW",138
"2804, NSW",1056
"2805, NSW",134
"2806, NSW",366
"2807, NSW",124
"2808, NSW",141
"2809, NSW",126
"2810, NSW",1283
"2820, NSW",2982
"2821, NSW",1884
"2823, NSW",555
"2824, NSW",983
"2825, NSW",1073
"2827, NSW",1436
"2828, NSW",249
"2829, NSW",1272
"2830, NSW",14287
"2831, NSW",1454
"2832, NSW",1048
"2833, NSW",308
"2834, NSW",1354
"2835, NSW",1782
"2836, NSW",383
"2839, NSW",499
"2840, NSW",1207
"2842, NSW",197
"2843, NSW",499
"2844, NSW",586
"2845, NSW",696
"2846, NSW",155
"2847, NSW",910
"2848, NSW",747
"2849, NSW",704
"2850, NSW",6307
"2852, NSW",1312
"2864, NSW",421
"2865, NSW",297
"2866, NSW",1053
"2867, NSW",230
"2868, NSW",199
"2869, NSW",641
"2870, NSW",4781
"2871, NSW",3591
"2873, NSW",295
"2874, NSW",162
"2875, NSW",417
"2876, NSW",118
"2877, NSW",1654
"2878, NSW",82
"2879, NSW",430
"2880, NSW",8384
"2898, NSW",146
"3000, Vic",11622
"3002, Vic",2501
"3003, Vic",1613
"3004, Vic",4083
"3005, Vic",346
"3006, Vic",6022
"3008, Vic",2944
"3010, Vic",27
"3011, Vic",7693
"3012, Vic",9217
"3013, Vic",5593
"3015, Vic",6439
"3016, Vic",5752
"3018, Vic",5063
"3019, Vic",2899
"3020, Vic",14275
"3021, Vic",17814
"3022, Vic",1100
"3023, Vic",17744
"3024, Vic",6189
"3025, Vic",4265
"3026, Vic",75
"3027, Vic",1081
"3028, Vic",10147
"3029, Vic",22598
"3030, Vic",26916
"3031, Vic",7763
"3032, Vic",10289
"3033, Vic",4846
"3034, Vic",4111
"3036, Vic",2082
"3037, Vic",14415
"3038, Vic",8919
"3039, Vic",5515
"3040, Vic",9261
"3041, Vic",4144
"3042, Vic",5794
"3043, Vic",6699
"3044, Vic",9575
"3045, Vic",30
"3046, Vic",11676
"3047, Vic",6248
"3048, Vic",5347
"3049, Vic",3093
"3051, Vic",5291
"3052, Vic",1702
"3053, Vic",7011
"3054, Vic",3699
"3055, Vic",5884
"3056, Vic",9842
"3057, Vic",3764
"3058, Vic",12127
"3059, Vic",3416
"3060, Vic",4416
"3061, Vic",1766
"3062, Vic",0
"3063, Vic",205
"3064, Vic",15862
"3065, Vic",4267
"3066, Vic",3142
"3067, Vic",2107
"3068, Vic",7566
"3070, Vic",9426
"3071, Vic",7492
"3072, Vic",11686
"3073, Vic",18960
"3074, Vic",7044
"3075, Vic",6894
"3076, Vic",8706
"3078, Vic",4285
"3079, Vic",5700
"3081, Vic",5413
"3082, Vic",9904
"3083, Vic",9963
"3084, Vic",9317
"3085, Vic",5020
"3086, Vic",0
"3087, Vic",3452
"3088, Vic",9588
"3089, Vic",3722
"3090, Vic",611
"3091, Vic",460
"3093, Vic",1397
"3094, Vic",3443
"3095, Vic",9250
"3096, Vic",581
"3097, Vic",428
"3099, Vic",1656
"3101, Vic",8915
"3102, Vic",2200
"3103, Vic",5738
"3104, Vic",7016
"3105, Vic",4112
"3106, Vic",5481
"3107, Vic",4747
"3108, Vic",7120
"3109, Vic",9689
"3111, Vic",4086
"3113, Vic",2756
"3114, Vic",1123
"3115, Vic",1174
"3116, Vic",3229
"3121, Vic",12188
"3122, Vic",9288
"3123, Vic",5437
"3124, Vic",7029
"3125, Vic",4889
"3126, Vic",2751
"3127, Vic",6587
"3128, Vic",6896
"3129, Vic",6128
"3130, Vic",11314
"3131, Vic",8191
"3132, Vic",5820
"3133, Vic",7593
"3134, Vic",11502
"3135, Vic",7355
"3136, Vic",15599
"3137, Vic",4872
"3138, Vic",7230
"3139, Vic",4758
"3140, Vic",5730
"3141, Vic",10135
"3142, Vic",5949
"3143, Vic",4121
"3144, Vic",4055
"3145, Vic",8083
"3146, Vic",9465
"3147, Vic",5009
"3148, Vic",3017
"3149, Vic",11946
"3150, Vic",20455
"3151, Vic",3714
"3152, Vic",10824
